,skewness,rank,demeaned_rank,weight
XLY,0.9256734837569456,53.0,-110.0,-0.00833143982428236
PAM,0.9285969792438827,52.0,-111.0,-0.00840718018632129
IBM,0.9398775745829988,51.0,-112.0,-0.008482920548360222
ARM,0.9591150989600767,50.0,-113.0,-0.008558660910399153
JCI,0.9610647780360833,49.0,-114.0,-0.008634401272438082
TMO,0.9813144892378205,48.0,-115.0,-0.008710141634477014
XLK,0.9888596928333355,47.0,-116.0,-0.008785881996515943
CAAP,1.0082978269729568,46.0,-117.0,-0.008861622358554875
CVS,1.0150638631627389,45.0,-118.0,-0.008937362720593804
AAPL,1.0572507551526544,44.0,-119.0,-0.009013103082632735
YPF,1.0580544137564127,43.0,-120.0,-0.009088843444671667
NOW,1.0615436483160208,42.0,-121.0,-0.009164583806710596
ORANY,1.062377215043276,41.0,-122.0,-0.009240324168749528
ZM,1.0706247439214711,40.0,-123.0,-0.009316064530788457
SUZ,1.0921204524878934,39.0,-124.0,-0.009391804892827389
CAR,1.09520410934382,38.0,-125.0,-0.009467545254866318
BG,1.1794526431718748,37.0,-126.0,-0.00954328561690525
AAL,1.2137824712187304,36.0,-127.0,-0.009619025978944179
SNOW,1.229699233315495,35.0,-128.0,-0.00969476634098311
MSFT,1.2397197632826469,34.0,-129.0,-0.009770506703022042
AVGO,1.2483397751304013,33.0,-130.0,-0.009846247065060971
AVY,1.2581852505423674,32.0,-131.0,-0.009921987427099902
KEP,1.3304430322701315,31.0,-132.0,-0.009997727789138832
ABNB,1.334118208757335,30.0,-133.0,-0.010073468151177763
ADI,1.3344849135052743,29.0,-134.0,-0.010149208513216693
UAL,1.3443641424291568,28.0,-135.0,-0.010224948875255624
NTES,1.3615921893010734,27.0,-136.0,-0.010300689237294554
NSANY,1.3779364886335659,26.0,-137.0,-0.010376429599333485
ISRG,1.3879564813367256,25.0,-138.0,-0.010452169961372416
URBN,1.4034494854588435,24.0,-139.0,-0.010527910323411346
INTC,1.4523281180967194,23.0,-140.0,-0.010603650685450277
DOCU,1.5777913010542741,22.0,-141.0,-0.010679391047489207
